试验ID：1
试验名称：金属材料室温拉伸试验
批号: /	
编号: /	
材质: /	
规格: /	
试验日期: 2021/10/20	
形状: 圆材	
标距倍率: 0	
尺寸1: 0.0	
尺寸2: 0.0	
尺寸3: 0.0	
试样尺寸: 0	
面积: 0.0	
原始标距: 50.0	
引伸计标距: 50.0	
平行长度: 50.0	
试验温度: 20.0	
试验人: /	
断后标距: 0	
断后面积: 0	
上屈服力: 3.064	
上屈服强度: 31	
下屈服力: 2.528	
下屈服强度: 25	
规定非比例延伸力: 0	
规定非比例延伸强度: 0	
规定非比例延伸力1: 0	
规定非比例延伸强度1: 0	
规定总延伸力: 0	
规定总延伸强度: 0	
最大力: 6.440	
抗拉强度: 64	
最大力非比例伸长率: 0	
最大力总伸长率: 0	
断后伸长率: 0	
断裂总伸长率: 0	
断面收缩率: 0	
屈服点延伸率: 0	
弹性模量: 657.76	
屈强比: 0.39	
强屈比: 2.56	
屈屈比: 0.125	
自定义1: 0	
自定义2: 0	
自定义3: 0	
自定义4: 0	

=========================曲线数据==========================
数据量：13547
试验力			变形1			变形2			变形3			位移			位移1			位移2			位移3			位移4			应力			应变			时间
6.3840		-0.0008		-0.0002		-0.0022		6.2127		-5.9831		-6.8847		-0.0000		-0.0000		63.8400		-0.0016		186.8031
6.3840		-0.0005		0.0000		-0.0018		6.2127		-5.9831		-6.8847		-0.0000		-0.0000		63.8400		-0.0010		186.8231
6.3850		-0.0005		0.0000		-0.0018		6.2139		-5.9831		-6.8847		-0.0000		-0.0000		63.8500		-0.0010		186.8431
6.3850		-0.0004		0.0000		-0.0018		6.2139		-5.9831		-6.8847		-0.0000		-0.0000		63.8500		-0.0008		186.8631
6.3860		-0.0004		0.0000		-0.0018		6.2151		-5.9831		-6.8847		-0.0000		-0.0000		63.8600		-0.0008		186.8831
6.3860		-0.0004		0.0000		-0.0018		6.2163		-5.9932		-6.8847		-0.0000		-0.0000		63.8600		-0.0008		186.9031
6.3880		-0.0004		0.0000		-0.0018		6.2163		-5.9932		-6.8847		-0.0000		-0.0000		63.8800		-0.0008		186.9231
6.3880		-0.0004		0.0000		-0.0018		6.2163		-5.9932		-6.8847		-0.0000		-0.0000		63.8800		-0.0008		186.9431
6.3890		-0.0002		0.0000		-0.0018		6.2176		-5.9932		-6.8847		-0.0000		-0.0000		63.8900		-0.0004		186.9631
6.3890		-0.0002		-0.0002		-0.0018		6.2188		-5.9932		-6.8847		-0.0000		-0.0000		63.8900		-0.0004		186.9831
6.3900		-0.0002		-0.0002		-0.0018		6.2188		-5.9932		-6.8847		-0.0000		-0.0000		63.9000		-0.0004		187.0031
6.3900		-0.0001		-0.0002		-0.0016		6.2200		-5.9932		-6.8947		-0.0000		-0.0000		63.9000		-0.0002		187.0231
6.3900		-0.0001		-0.0002		-0.0016		6.2200		-5.9932		-6.8947		-0.0000		-0.0000		63.9000		-0.0002		187.0431
6.3900		-0.0001		-0.0002		-0.0016		6.2212		-5.9932		-6.8947		-0.0000		-0.0000		63.9000		-0.0002		187.0631
6.3910		-0.0001		-0.0002		-0.0016		6.2212		-5.9932		-6.8947		-0.0000		-0.0000		63.9100		-0.0002		187.0831
6.3910		-0.0002		-0.0002		-0.0012		6.2224		-5.9932		-6.8947		-0.0000		-0.0000		63.9100		-0.0004		187.1031
6.3920		-0.0002		-0.0002		-0.0012		6.2236		-5.9932		-6.8947		-0.0000		-0.0000		63.9200		-0.0004		187.1232
6.3920		-0.0002		-0.0002		-0.0012		6.2236		-5.9932		-6.8947		-0.0000		-0.0000		63.9200		-0.0004		187.1432
6.3930		-0.0002		-0.0002		-0.0012		6.2248		-5.9932		-6.8947		-0.0000		-0.0000		63.9300		-0.0004		187.1632
6.3930		-0.0004		-0.0002		-0.0010		6.2248		-5.9932		-6.8947		-0.0000		-0.0000		63.9300		-0.0008		187.1832
6.3930		-0.0004		-0.0002		-0.0010		6.2260		-5.9932		-6.8947		-0.0000		-0.0000		63.9300		-0.0008		187.2032
6.3930		-0.0009		-0.0002		-0.0010		6.2260		-5.9932		-6.8947		-0.0000		-0.0000		63.9300		-0.0018		187.2232
6.3930		-0.0009		-0.0002		-0.0010		6.2273		-5.9932		-6.8947		-0.0000		-0.0000		63.9300		-0.0018		187.2432
6.3930		-0.0009		-0.0002		-0.0010		6.2273		-6.0032		-6.8947		-0.0000		-0.0000		63.9300		-0.0018		187.2632
6.3940		-0.0011		-0.0002		-0.0010		6.2285		-6.0032		-6.9048		-0.0000		-0.0000		63.9400		-0.0022		187.2832
6.3940		-0.0011		-0.0002		-0.0010		6.2297		-6.0032		-6.9048		-0.0000		-0.0000		63.9400		-0.0022		187.3032
6.3950		-0.0011		-0.0002		-0.0010		6.2297		-6.0032		-6.9048		-0.0000		-0.0000		63.9500		-0.0022		187.3232
6.3950		-0.0011		-0.0002		-0.0012		6.2309		-6.0032		-6.9048		-0.0000		-0.0000		63.9500		-0.0022		187.3432
6.3960		-0.0011		-0.0002		-0.0012		6.2309		-6.0032		-6.9048		-0.0000		-0.0000		63.9600		-0.0022		187.3632
6.3960		-0.0011		-0.0002		-0.0012		6.2321		-6.0032		-6.9048		-0.0000		-0.0000		63.9600		-0.0022		187.3832
6.3970		-0.0011		-0.0002		-0.0012		6.2321		-6.0032		-6.9048		-0.0000		-0.0000		63.9700		-0.0022		187.4032
6.3970		-0.0011		-0.0002		-0.0012		6.2333		-6.0032		-6.9048		-0.0000		-0.0000		63.9700		-0.0022		187.4232
6.3980		-0.0011		-0.0002		-0.0012		6.2333		-6.0032		-6.9048		-0.0000		-0.0000		63.9800		-0.0022		187.4432
6.3980		-0.0015		-0.0002		-0.0012		6.2345		-6.0032		-6.9048		-0.0000		-0.0000		63.9800		-0.0030		187.4632
6.3980		-0.0015		-0.0002		-0.0012		6.2345		-6.0032		-6.9048		-0.0000		-0.0000		63.9800		-0.0030		187.4832
6.3980		-0.0018		-0.0004		-0.0012		6.2357		-6.0032		-6.9148		-0.0000		-0.0000		63.9800		-0.0036		187.5032
6.3990		-0.0018		-0.0004		-0.0012		6.2357		-6.0032		-6.9148		-0.0000		-0.0000		63.9900		-0.0036		187.5232
6.3990		-0.0022		-0.0004		-0.0012		6.2370		-6.0032		-6.9148		-0.0000		-0.0000		63.9900		-0.0044		187.5432
6.3990		-0.0022		-0.0004		-0.0012		6.2382		-6.0132		-6.9148		-0.0000		-0.0000		63.9900		-0.0044		187.5632
6.3990		-0.0022		-0.0004		-0.0012		6.2382		-6.0132		-6.9148		-0.0000		-0.0000		63.9900		-0.0044		187.5833
6.3990		-0.0022		-0.0004		-0.0012		6.2394		-6.0132		-6.9148		-0.0000		-0.0000		63.9900		-0.0044		187.6033
6.3990		-0.0020		-0.0004		-0.0012		6.2394		-6.0132		-6.9148		-0.0000		-0.0000		63.9900		-0.0040		187.6233
6.4000		-0.0020		-0.0004		-0.0012		6.2406		-6.0132		-6.9148		-0.0000		-0.0000		64.0000		-0.0040		187.6433
6.4000		-0.0020		-0.0008		-0.0012		6.2406		-6.0132		-6.9148		-0.0000		-0.0000		64.0000		-0.0040		187.6633
6.4000		-0.0020		-0.0008		-0.0012		6.2418		-6.0132		-6.9148		-0.0000		-0.0000		64.0000		-0.0040		187.6833
6.4000		-0.0019		-0.0008		-0.0016		6.2430		-6.0132		-6.9148		-0.0000		-0.0000		64.0000		-0.0038		187.7033
6.4010		-0.0019		-0.0008		-0.0016		6.2430		-6.0132		-6.9148		-0.0000		-0.0000		64.0100		-0.0038		187.7233
6.4010		-0.0019		-0.0008		-0.0016		6.2442		-6.0132		-6.9248		-0.0000		-0.0000		64.0100		-0.0038		187.7433
6.4010		-0.0019		-0.0008		-0.0016		6.2442		-6.0132		-6.9248		-0.0000		-0.0000		64.0100		-0.0038		187.7633
6.4010		-0.0018		-0.0008		-0.0016		6.2454		-6.0132		-6.9248		-0.0000		-0.0000		64.0100		-0.0036		187.7833
6.4020		-0.0018		-0.0008		-0.0016		6.2454		-6.0132		-6.9248		-0.0000		-0.0000		64.0200		-0.0036		187.8033
6.4020		-0.0016		-0.0010		-0.0016		6.2466		-6.0132		-6.9248		-0.0000		-0.0000		64.0200		-0.0032		187.8233
6.4040		-0.0016		-0.0010		-0.0016		6.2466		-6.0132		-6.9248		-0.0000		-0.0000		64.0400		-0.0032		187.8433
6.4040		-0.0013		-0.0010		-0.0016		6.2479		-6.0132		-6.9248		-0.0000		-0.0000		64.0400		-0.0026		187.8633
6.4050		-0.0013		-0.0010		-0.0016		6.2479		-6.0232		-6.9248		-0.0000		-0.0000		64.0500		-0.0026		187.8833
6.4050		-0.0011		-0.0010		-0.0012		6.2491		-6.0232		-6.9248		-0.0000		-0.0000		64.0500		-0.0022		187.9033
6.4060		-0.0011		-0.0010		-0.0012		6.2491		-6.0232		-6.9248		-0.0000		-0.0000		64.0600		-0.0022		187.9233
6.4060		-0.0011		-0.0010		-0.0012		6.2503		-6.0232		-6.9248		-0.0000		-0.0000		64.0600		-0.0022		187.9433
6.4070		-0.0011		-0.0010		-0.0012		6.2515		-6.0232		-6.9349		-0.0000		-0.0000		64.0700		-0.0022		187.9633
6.4070		-0.0009		-0.0010		-0.0012		6.2515		-6.0232		-6.9349		-0.0000		-0.0000		64.0700		-0.0018		187.9833
6.4080		-0.0009		-0.0010		-0.0012		6.2527		-6.0232		-6.9349		-0.0000		-0.0000		64.0800		-0.0018		188.0033
6.4080		-0.0008		-0.0010		-0.0012		6.2527		-6.0232		-6.9349		-0.0000		-0.0000		64.0800		-0.0016		188.0233
6.4090		-0.0008		-0.0010		-0.0012		6.2539		-6.0232		-6.9349		-0.0000		-0.0000		64.0900		-0.0016		188.0434
6.4090		-0.0005		-0.0010		-0.0012		6.2539		-6.0232		-6.9349		-0.0000		-0.0000		64.0900		-0.0010		188.0634
6.4080		-0.0005		-0.0010		-0.0012		6.2551		-6.0232		-6.9349		-0.0000		-0.0000		64.0800		-0.0010		188.0834
6.4080		-0.0004		-0.0010		-0.0012		6.2551		-6.0232		-6.9349		-0.0000		-0.0000		64.0800		-0.0008		188.1034
6.4060		-0.0004		-0.0010		-0.0012		6.2563		-6.0232		-6.9349		-0.0000		-0.0000		64.0600		-0.0008		188.1234
6.4060		-0.0004		-0.0010		-0.0016		6.2576		-6.0232		-6.9349		-0.0000		-0.0000		64.0600		-0.0008		188.1434
6.4050		-0.0004		-0.0010		-0.0016		6.2576		-6.0332		-6.9349		-0.0000		-0.0000		64.0500		-0.0008		188.1634
6.4050		-0.0002		-0.0010		-0.0018		6.2588		-6.0332		-6.9349		-0.0000		-0.0000		64.0500		-0.0004		188.1834
6.4060		-0.0002		-0.0010		-0.0018		6.2588		-6.0332		-6.9349		-0.0000		-0.0000		64.0600		-0.0004		188.2034
6.4060		-0.0002		-0.0010		-0.0018		6.2600		-6.0332		-6.9349		-0.0000		-0.0000		64.0600		-0.0004		188.2234
6.4060		-0.0002		-0.0010		-0.0018		6.2600		-6.0332		-6.9449		-0.0000		-0.0000		64.0600		-0.0004		188.2434
6.4060		-0.0002		-0.0010		-0.0018		6.2612		-6.0332		-6.9449		-0.0000		-0.0000		64.0600		-0.0004		188.2634
6.4060		-0.0002		-0.0010		-0.0018		6.2612		-6.0332		-6.9449		-0.0000		-0.0000		64.0600		-0.0004		188.2834
6.4060		-0.0002		-0.0008		-0.0018		6.2624		-6.0332		-6.9449		-0.0000		-0.0000		64.0600		-0.0004		188.3034
6.4070		-0.0002		-0.0008		-0.0018		6.2624		-6.0332		-6.9449		-0.0000		-0.0000		64.0700		-0.0004		188.3234
6.4070		-0.0004		-0.0008		-0.0018		6.2636		-6.0332		-6.9449		-0.0000		-0.0000		64.0700		-0.0008		188.3434
6.4070		-0.0004		-0.0008		-0.0018		6.2648		-6.0332		-6.9449		-0.0000		-0.0000		64.0700		-0.0008		188.3634
6.4070		-0.0005		-0.0008		-0.0018		6.2648		-6.0332		-6.9449		-0.0000		-0.0000		64.0700		-0.0010		188.3834
6.4080		-0.0005		-0.0008		-0.0018		6.2660		-6.0332		-6.9449		-0.0000		-0.0000		64.0800		-0.0010		188.4034
6.4080		-0.0005		-0.0008		-0.0018		6.2660		-6.0332		-6.9449		-0.0000		-0.0000		64.0800		-0.0010		188.4234
6.4080		-0.0005		-0.0008		-0.0018		6.2673		-6.0332		-6.9449		-0.0000		-0.0000		64.0800		-0.0010		188.4434
6.4080		-0.0006		-0.0008		-0.0018		6.2673		-6.0332		-6.9549		-0.0000		-0.0000		64.0800		-0.0012		188.4634
6.4090		-0.0006		-0.0008		-0.0018		6.2685		-6.0332		-6.9549		-0.0000		-0.0000		64.0900		-0.0012		188.4834
6.4090		-0.0006		-0.0008		-0.0018		6.2685		-6.0433		-6.9549		-0.0000		-0.0000		64.0900		-0.0012		188.5034
6.4100		-0.0006		-0.0008		-0.0018		6.2697		-6.0433		-6.9549		-0.0000		-0.0000		64.1000		-0.0012		188.5235
6.4100		-0.0006		-0.0008		-0.0018		6.2709		-6.0433		-6.9549		-0.0000		-0.0000		64.1000		-0.0012		188.5435
6.4110		-0.0006		-0.0008		-0.0018		6.2709		-6.0433		-6.9549		-0.0000		-0.0000		64.1100		-0.0012		188.5635
6.4110		-0.0005		-0.0008		-0.0018		6.2721		-6.0433		-6.9549		-0.0000		-0.0000		64.1100		-0.0010		188.5835
6.4120		-0.0005		-0.0008		-0.0018		6.2721		-6.0433		-6.9549		-0.0000		-0.0000		64.1200		-0.0010		188.6035
6.4120		-0.0006		-0.0008		-0.0016		6.2733		-6.0433		-6.9549		-0.0000		-0.0000		64.1200		-0.0012		188.6235
6.4130		-0.0006		-0.0008		-0.0016		6.2733		-6.0433		-6.9549		-0.0000		-0.0000		64.1300		-0.0012		188.6435
6.4130		-0.0006		-0.0008		-0.0016		6.2745		-6.0433		-6.9549		-0.0000		-0.0000		64.1300		-0.0012		188.6635
6.4140		-0.0006		-0.0008		-0.0016		6.2745		-6.0433		-6.9650		-0.0000		-0.0000		64.1400		-0.0012		188.6835
6.4140		-0.0006		-0.0008		-0.0012		6.2757		-6.0433		-6.9650		-0.0000		-0.0000		64.1400		-0.0012		188.7035
6.4150		-0.0006		-0.0008		-0.0012		6.2757		-6.0433		-6.9650		-0.0000		-0.0000		64.1500		-0.0012		188.7235
6.4150		-0.0006		-0.0008		-0.0012		6.2769		-6.0433		-6.9650		-0.0000		-0.0000		64.1500		-0.0012		188.7435
6.4170		-0.0005		-0.0008		-0.0010		6.2782		-6.0433		-6.9650		-0.0000		-0.0000		64.1700		-0.0010		188.7635
6.4170		-0.0004		-0.0008		-0.0010		6.2782		-6.0433		-6.9650		-0.0000		-0.0000		64.1700		-0.0008		188.7835
6.4180		-0.0004		-0.0008		-0.0010		6.2794		-6.0433		-6.9650		-0.0000		-0.0000		64.1800		-0.0008		188.8035
6.4180		-0.0005		-0.0008		-0.0008		6.2794		-6.0533		-6.9650		-0.0000		-0.0000		64.1800		-0.0010		188.8235
6.4190		-0.0005		-0.0008		-0.0008		6.2806		-6.0533		-6.9650		-0.0000		-0.0000		64.1900		-0.0010		188.8435
6.4190		-0.0005		-0.0004		-0.0008		6.2806		-6.0533		-6.9650		-0.0000		-0.0000		64.1900		-0.0010		188.8635
6.4200		-0.0009		-0.0004		-0.0008		6.2818		-6.0533		-6.9650		-0.0000		-0.0000		64.2000		-0.0018		188.8835
6.4200		-0.0009		-0.0004		-0.0008		6.2818		-6.0533		-6.9650		-0.0000		-0.0000		64.2000		-0.0018		188.9035
6.4200		-0.0013		-0.0004		-0.0008		6.2830		-6.0533		-6.9750		-0.0000		-0.0000		64.2000		-0.0026		188.9235
6.4200		-0.0013		-0.0004		-0.0008		6.2842		-6.0533		-6.9750		-0.0000		-0.0000		64.2000		-0.0026		188.9435
6.4180		-0.0016		-0.0004		-0.0008		6.2842		-6.0533		-6.9750		-0.0000		-0.0000		64.1800		-0.0032		188.9635
6.4180		-0.0016		-0.0004		-0.0008		6.2854		-6.0533		-6.9750		-0.0000		-0.0000		64.1800		-0.0032		188.9836
6.4170		-0.0018		-0.0004		-0.0008		6.2854		-6.0533		-6.9750		-0.0000		-0.0000		64.1700		-0.0036		189.0036
6.4170		-0.0018		-0.0004		-0.0008		6.2866		-6.0533		-6.9750		-0.0000		-0.0000		64.1700		-0.0036		189.0236
6.4160		-0.0016		-0.0004		-0.0008		6.2866		-6.0533		-6.9750		-0.0000		-0.0000		64.1600		-0.0032		189.0436
6.4160		-0.0016		-0.0004		-0.0008		6.2879		-6.0533		-6.9750		-0.0000		-0.0000		64.1600		-0.0032		189.0636
6.4160		-0.0015		-0.0004		-0.0008		6.2879		-6.0533		-6.9750		-0.0000		-0.0000		64.1600		-0.0030		189.0836
6.4160		-0.0015		-0.0004		-0.0008		6.2891		-6.0533		-6.9750		-0.0000		-0.0000		64.1600		-0.0030		189.1036
6.4160		-0.0013		-0.0004		-0.0008		6.2891		-6.0533		-6.9750		-0.0000		-0.0000		64.1600		-0.0026		189.1236
6.4160		-0.0013		-0.0004		-0.0008		6.2903		-6.0633		-6.9750		-0.0000		-0.0000		64.1600		-0.0026		189.1436
6.4170		-0.0009		-0.0004		-0.0008		6.2903		-6.0633		-6.9750		-0.0000		-0.0000		64.1700		-0.0018		189.1636
6.4170		-0.0009		-0.0004		-0.0008		6.2915		-6.0633		-6.9851		-0.0000		-0.0000		64.1700		-0.0018		189.1836
6.4180		-0.0008		-0.0004		-0.0008		6.2927		-6.0633		-6.9851		-0.0000		-0.0000		64.1800		-0.0016		189.2036
6.4180		-0.0008		-0.0004		-0.0008		6.2927		-6.0633		-6.9851		-0.0000		-0.0000		64.1800		-0.0016		189.2236
6.4180		-0.0008		-0.0004		-0.0008		6.2939		-6.0633		-6.9851		-0.0000		-0.0000		64.1800		-0.0016		189.2436
6.4180		-0.0008		-0.0004		-0.0008		6.2939		-6.0633		-6.9851		-0.0000		-0.0000		64.1800		-0.0016		189.2636
6.4190		-0.0008		-0.0004		-0.0008		6.2951		-6.0633		-6.9851		-0.0000		-0.0000		64.1900		-0.0016		189.2836
6.4190		-0.0008		-0.0008		-0.0008		6.2951		-6.0633		-6.9851		-0.0000		-0.0000		64.1900		-0.0016		189.3036
6.4200		-0.0008		-0.0008		-0.0008		6.2963		-6.0633		-6.9851		-0.0000		-0.0000		64.2000		-0.0016		189.3236
6.4200		-0.0008		-0.0008		-0.0008		6.2963		-6.0633		-6.9851		-0.0000		-0.0000		64.2000		-0.0016		189.3436
6.4200		-0.0006		-0.0008		-0.0008		6.2976		-6.0633		-6.9851		-0.0000		-0.0000		64.2000		-0.0012		189.3636
6.4200		-0.0006		-0.0004		-0.0008		6.2988		-6.0633		-6.9851		-0.0000		-0.0000		64.2000		-0.0012		189.3836
6.4200		-0.0005		-0.0004		-0.0008		6.2988		-6.0633		-6.9851		-0.0000		-0.0000		64.2000		-0.0010		189.4036
6.4200		-0.0005		-0.0004		-0.0008		6.3000		-6.0733		-6.9951		-0.0000		-0.0000		64.2000		-0.0010		189.4236
6.4200		-0.0004		-0.0004		-0.0008		6.3000		-6.0733		-6.9951		-0.0000		-0.0000		64.2000		-0.0008		189.4436
6.4200		-0.0004		-0.0004		-0.0004		6.3012		-6.0733		-6.9951		-0.0000		-0.0000		64.2000		-0.0008		189.4637
6.4200		-0.0004		-0.0004		-0.0004		6.3012		-6.0733		-6.9951		-0.0000		-0.0000		64.2000		-0.0008		189.4837
6.4200		-0.0004		-0.0004		-0.0004		6.3024		-6.0733		-6.9951		-0.0000		-0.0000		64.2000		-0.0008		189.5037
6.4210		-0.0004		-0.0004		-0.0004		6.3024		-6.0733		-6.9951		-0.0000		-0.0000		64.2100		-0.0008		189.5237
6.4210		-0.0004		-0.0004		-0.0004		6.3036		-6.0733		-6.9951		-0.0000		-0.0000		64.2100		-0.0008		189.5437
6.4210		-0.0005		-0.0004		-0.0004		6.3036		-6.0733		-6.9951		-0.0000		-0.0000		64.2100		-0.0010		189.5637
6.4210		-0.0005		-0.0004		-0.0004		6.3048		-6.0733		-6.9951		-0.0000		-0.0000		64.2100		-0.0010		189.5837
6.4210		-0.0006		-0.0004		-0.0004		6.3060		-6.0733		-6.9951		-0.0000		-0.0000		64.2100		-0.0012		189.6037
6.4210		-0.0006		-0.0004		-0.0002		6.3060		-6.0733		-7.0051		-0.0000		-0.0000		64.2100		-0.0012		189.6237
6.4220		-0.0008		-0.0004		-0.0002		6.3072		-6.0733		-7.0051		-0.0000		-0.0000		64.2200		-0.0016		189.6437
6.4220		-0.0008		-0.0008		0.0000		6.3072		-6.0733		-7.0051		-0.0000		-0.0000		64.2200		-0.0016		189.6637
6.4230		-0.0008		-0.0008		0.0000		6.3085		-6.0733		-7.0051		-0.0000		-0.0000		64.2300		-0.0016		189.6837
6.4230		-0.0008		-0.0008		0.0000		6.3085		-6.0733		-7.0051		-0.0000		-0.0000		64.2300		-0.0016		189.7037
6.4230		-0.0008		-0.0008		0.0000		6.3097		-6.0733		-7.0051		-0.0000		-0.0000		64.2300		-0.0016		189.7237
6.4230		-0.0008		-0.0008		0.0000		6.3097		-6.0733		-7.0051		-0.0000		-0.0000		64.2300		-0.0016		189.7437
6.4230		-0.0008		-0.0008		0.0000		6.3109		-6.0834		-7.0051		-0.0000		-0.0000		64.2300		-0.0016		189.7637
6.4230		-0.0008		-0.0010		0.0000		6.3121		-6.0834		-7.0051		-0.0000		-0.0000		64.2300		-0.0016		189.7837
6.4240		-0.0005		-0.0010		0.0000		6.3121		-6.0834		-7.0051		-0.0000		-0.0000		64.2400		-0.0010		189.8037
6.4240		-0.0005		-0.0010		0.0000		6.3133		-6.0834		-7.0051		-0.0000		-0.0000		64.2400		-0.0010		189.8237
6.4240		-0.0004		-0.0010		0.0000		6.3133		-6.0834		-7.0051		-0.0000		-0.0000		64.2400		-0.0008		189.8437
6.4240		-0.0004		-0.0010		0.0002		6.3145		-6.0834		-7.0152		-0.0000		-0.0000		64.2400		-0.0008		189.8637
6.4240		-0.0002		-0.0010		0.0002		6.3145		-6.0834		-7.0152		-0.0000		-0.0000		64.2400		-0.0004		189.8837
6.4240		-0.0002		-0.0010		0.0002		6.3157		-6.0834		-7.0152		-0.0000		-0.0000		64.2400		-0.0004		189.9037
6.4250		0.0000		-0.0010		0.0002		6.3157		-6.0834		-7.0152		-0.0000		-0.0000		64.2500		0.0000		189.9238
6.4250		0.0000		-0.0010		0.0002		6.3169		-6.0834		-7.0152		-0.0000		-0.0000		64.2500		0.0000		189.9438
6.4270		0.0000		-0.0010		0.0002		6.3169		-6.0834		-7.0152		-0.0000		-0.0000		64.2700		0.0000		189.9638
6.4270		0.0000		-0.0010		0.0002		6.3182		-6.0834		-7.0152		-0.0000		-0.0000		64.2700		0.0000		189.9838
6.4290		0.0000		-0.0010		0.0002		6.3194		-6.0834		-7.0152		-0.0000		-0.0000		64.2900		0.0000		190.0038
6.4290		0.0000		-0.0010		0.0004		6.3194		-6.0834		-7.0152		-0.0000		-0.0000		64.2900		0.0000		190.0238
6.4290		0.0001		-0.0010		0.0004		6.3206		-6.0834		-7.0152		-0.0000		-0.0000		64.2900		0.0002		190.0438
6.4290		0.0001		-0.0010		0.0004		6.3206		-6.0834		-7.0152		-0.0000		-0.0000		64.2900		0.0002		190.0638
6.4290		0.0002		-0.0010		0.0004		6.3218		-6.0934		-7.0152		-0.0000		-0.0000		64.2900		0.0004		190.0838
6.4290		0.0002		-0.0008		0.0004		6.3218		-6.0934		-7.0152		-0.0000		-0.0000		64.2900		0.0004		190.1038
6.4300		0.0002		-0.0008		0.0004		6.3230		-6.0934		-7.0252		-0.0000		-0.0000		64.3000		0.0004		190.1238
6.4300		0.0002		-0.0008		0.0004		6.3230		-6.0934		-7.0252		-0.0000		-0.0000		64.3000		0.0004		190.1438
6.4310		0.0002		-0.0008		0.0004		6.3242		-6.0934		-7.0252		-0.0000		-0.0000		64.3100		0.0004		190.1638
6.4310		0.0002		-0.0008		0.0004		6.3254		-6.0934		-7.0252		-0.0000		-0.0000		64.3100		0.0004		190.1838
6.4310		0.0002		-0.0008		0.0004		6.3254		-6.0934		-7.0252		-0.0000		-0.0000		64.3100		0.0004		190.2038
6.4310		0.0002		-0.0008		0.0004		6.3266		-6.0934		-7.0252		-0.0000		-0.0000		64.3100		0.0004		190.2238
6.4300		0.0002		-0.0008		0.0004		6.3266		-6.0934		-7.0252		-0.0000		-0.0000		64.3000		0.0004		190.2438
6.4300		0.0002		-0.0008		0.0006		6.3279		-6.0934		-7.0252		-0.0000		-0.0000		64.3000		0.0004		190.2638
6.4300		0.0001		-0.0008		0.0006		6.3279		-6.0934		-7.0252		-0.0000		-0.0000		64.3000		0.0002		190.2838
6.4300		0.0001		-0.0008		0.0006		6.3291		-6.0934		-7.0252		-0.0000		-0.0000		64.3000		0.0002		190.3038
6.4310		0.0000		-0.0008		0.0006		6.3291		-6.0934		-7.0252		-0.0000		-0.0000		64.3100		0.0000		190.3238
6.4310		0.0000		-0.0008		0.0006		6.3303		-6.0934		-7.0352		-0.0000		-0.0000		64.3100		0.0000		190.3438
6.4320		0.0000		-0.0008		0.0006		6.3303		-6.0934		-7.0352		-0.0000		-0.0000		64.3200		0.0000		190.3638
6.4320		0.0000		-0.0004		0.0006		6.3315		-6.0934		-7.0352		-0.0000		-0.0000		64.3200		0.0000		190.3839
6.4330		0.0000		-0.0004		0.0006		6.3327		-6.1034		-7.0352		-0.0000		-0.0000		64.3300		0.0000		190.4039
6.4330		0.0000		-0.0004		0.0006		6.3327		-6.1034		-7.0352		-0.0000		-0.0000		64.3300		0.0000		190.4239
6.4330		0.0000		-0.0004		0.0006		6.3339		-6.1034		-7.0352		-0.0000		-0.0000		64.3300		0.0000		190.4439
6.4330		0.0000		-0.0004		0.0006		6.3339		-6.1034		-7.0352		-0.0000		-0.0000		64.3300		0.0000		190.4639
6.4330		-0.0001		-0.0004		0.0006		6.3351		-6.1034		-7.0352		-0.0000		-0.0000		64.3300		-0.0002		190.4839
6.4330		-0.0001		-0.0004		0.0004		6.3351		-6.1034		-7.0352		-0.0000		-0.0000		64.3300		-0.0002		190.5039
6.4340		0.0000		-0.0004		0.0004		6.3363		-6.1034		-7.0352		-0.0000		-0.0000		64.3400		0.0000		190.5239
6.4340		0.0000		-0.0004		0.0002		6.3363		-6.1034		-7.0352		-0.0000		-0.0000		64.3400		0.0000		190.5439
6.4350		0.0000		-0.0004		0.0002		6.3375		-6.1034		-7.0352		-0.0000		-0.0000		64.3500		0.0000		190.5639
6.4350		0.0000		-0.0004		0.0000		6.3388		-6.1034		-7.0453		-0.0000		-0.0000		64.3500		0.0000		190.5839
6.4360		0.0000		-0.0004		0.0000		6.3388		-6.1034		-7.0453		-0.0000		-0.0000		64.3600		0.0000		190.6039
6.4360		0.0000		-0.0004		0.0000		6.3400		-6.1034		-7.0453		-0.0000		-0.0000		64.3600		0.0000		190.6239
6.4360		0.0001		-0.0004		0.0000		6.3400		-6.1034		-7.0453		-0.0000		-0.0000		64.3600		0.0002		190.6439
6.4360		0.0001		-0.0004		0.0000		6.3412		-6.1034		-7.0453		-0.0000		-0.0000		64.3600		0.0002		190.6639
6.4370		0.0000		-0.0004		0.0000		6.3412		-6.1034		-7.0453		-0.0000		-0.0000		64.3700		0.0000		190.6839
6.4370		0.0000		-0.0004		0.0000		6.3424		-6.1134		-7.0453		-0.0000		-0.0000		64.3700		0.0000		190.7039
6.4380		0.0000		-0.0004		0.0000		6.3424		-6.1134		-7.0453		-0.0000		-0.0000		64.3800		0.0000		190.7239
6.4380		0.0000		-0.0004		0.0000		6.3436		-6.1134		-7.0453		-0.0000		-0.0000		64.3800		0.0000		190.7439
6.4390		-0.0001		-0.0004		0.0000		6.3436		-6.1134		-7.0453		-0.0000		-0.0000		64.3900		-0.0002		190.7639
