试验ID：1
试验名称：金属材料室温拉伸试验
批号: /	
编号: /	
材质: /	
规格: /	
试验日期: 2021/10/20	
形状: 圆材	
标距倍率: 0	
尺寸1: 0.0	
尺寸2: 0.0	
尺寸3: 0.0	
试样尺寸: 0	
面积: 0.0	
原始标距: 50.0	
引伸计标距: 50.0	
平行长度: 50.0	
试验温度: 20.0	
试验人: /	
断后标距: 0	
断后面积: 0	
上屈服力: 3.064	
上屈服强度: 31	
下屈服力: 2.528	
下屈服强度: 25	
规定非比例延伸力: 0	
规定非比例延伸强度: 0	
规定非比例延伸力1: 0	
规定非比例延伸强度1: 0	
规定总延伸力: 0	
规定总延伸强度: 0	
最大力: 6.440	
抗拉强度: 64	
最大力非比例伸长率: 0	
最大力总伸长率: 0	
断后伸长率: 0	
断裂总伸长率: 0	
断面收缩率: 0	
屈服点延伸率: 0	
弹性模量: 657.76	
屈强比: 0.39	
强屈比: 2.56	
屈屈比: 0.125	
自定义1: 0	
自定义2: 0	
自定义3: 0	
自定义4: 0	

=========================曲线数据==========================
数据量：13547
试验力			变形1			变形2			变形3			位移			位移1			位移2			位移3			位移4			应力			应变			时间
0.3770		-0.0009		0.0000		-0.0004		0.0848		-0.0200		-0.0502		-0.0000		-0.0000		3.7700		-0.0018		2.5600
0.3850		-0.0008		0.0000		-0.0004		0.0861		-0.0200		-0.0602		-0.0000		-0.0000		3.8500		-0.0016		2.5800
0.3850		-0.0008		0.0000		-0.0004		0.0861		-0.0200		-0.0602		-0.0000		-0.0000		3.8500		-0.0016		2.6000
0.3930		-0.0004		0.0000		-0.0004		0.0873		-0.0200		-0.0602		-0.0000		-0.0000		3.9300		-0.0008		2.6200
0.3930		-0.0004		0.0000		-0.0004		0.0873		-0.0200		-0.0602		-0.0000		-0.0000		3.9300		-0.0008		2.6400
0.4010		-0.0004		0.0000		-0.0004		0.0885		-0.0200		-0.0602		-0.0000		-0.0000		4.0100		-0.0008		2.6600
0.4010		-0.0004		0.0000		-0.0004		0.0885		-0.0200		-0.0602		-0.0000		-0.0000		4.0100		-0.0008		2.6800
0.4090		-0.0006		0.0000		-0.0004		0.0897		-0.0200		-0.0602		-0.0000		-0.0000		4.0900		-0.0012		2.7000
0.4090		-0.0006		0.0000		-0.0004		0.0897		-0.0200		-0.0602		-0.0000		-0.0000		4.0900		-0.0012		2.7200
0.4170		-0.0009		0.0000		-0.0004		0.0909		-0.0200		-0.0602		-0.0000		-0.0000		4.1700		-0.0018		2.7400
0.4170		-0.0009		0.0000		-0.0004		0.0909		-0.0200		-0.0602		-0.0000		-0.0000		4.1700		-0.0018		2.7600
0.4250		-0.0011		0.0000		-0.0004		0.0921		-0.0200		-0.0602		-0.0000		-0.0000		4.2500		-0.0022		2.7800
0.4250		-0.0011		0.0000		-0.0004		0.0933		-0.0200		-0.0602		-0.0000		-0.0000		4.2500		-0.0022		2.8000
0.4330		-0.0011		0.0000		-0.0004		0.0933		-0.0200		-0.0602		-0.0000		-0.0000		4.3300		-0.0022		2.8200
0.4330		-0.0011		0.0000		-0.0004		0.0945		-0.0200		-0.0602		-0.0000		-0.0000		4.3300		-0.0022		2.8400
0.4420		-0.0011		0.0000		-0.0002		0.0945		-0.0200		-0.0602		-0.0000		-0.0000		4.4200		-0.0022		2.8600
0.4420		-0.0011		0.0000		-0.0002		0.0957		-0.0200		-0.0602		-0.0000		-0.0000		4.4200		-0.0022		2.8800
0.4500		-0.0016		-0.0002		-0.0002		0.0957		-0.0200		-0.0602		-0.0000		-0.0000		4.5000		-0.0032		2.9000
0.4500		-0.0016		-0.0002		-0.0002		0.0970		-0.0200		-0.0602		-0.0000		-0.0000		4.5000		-0.0032		2.9200
0.4590		-0.0019		-0.0002		-0.0002		0.0970		-0.0200		-0.0602		-0.0000		-0.0000		4.5900		-0.0038		2.9400
0.4590		-0.0019		-0.0002		-0.0002		0.0982		-0.0200		-0.0602		-0.0000		-0.0000		4.5900		-0.0038		2.9600
0.4670		-0.0020		-0.0002		0.0000		0.0994		-0.0200		-0.0602		-0.0000		-0.0000		4.6700		-0.0040		2.9800
0.4670		-0.0020		-0.0002		0.0000		0.0994		-0.0200		-0.0602		-0.0000		-0.0000		4.6700		-0.0040		3.0000
0.4750		-0.0020		-0.0002		0.0000		0.1006		-0.0200		-0.0602		-0.0000		-0.0000		4.7500		-0.0040		3.0200
0.4750		-0.0020		-0.0002		0.0000		0.1006		-0.0200		-0.0602		-0.0000		-0.0000		4.7500		-0.0040		3.0400
0.4830		-0.0022		-0.0004		0.0000		0.1018		-0.0200		-0.0602		-0.0000		-0.0000		4.8300		-0.0044		3.0600
0.4830		-0.0022		-0.0004		0.0000		0.1018		-0.0200		-0.0602		-0.0000		-0.0000		4.8300		-0.0044		3.0800
0.4920		-0.0023		-0.0004		0.0000		0.1030		-0.0200		-0.0703		-0.0000		-0.0000		4.9200		-0.0046		3.1000
0.4920		-0.0023		-0.0004		0.0000		0.1030		-0.0200		-0.0703		-0.0000		-0.0000		4.9200		-0.0046		3.1200
0.5000		-0.0023		-0.0004		0.0000		0.1042		-0.0200		-0.0703		-0.0000		-0.0000		5.0000		-0.0046		3.1400
0.5000		-0.0023		-0.0004		0.0000		0.1042		-0.0200		-0.0703		-0.0000		-0.0000		5.0000		-0.0046		3.1600
0.5080		-0.0022		-0.0004		0.0000		0.1054		-0.0200		-0.0703		-0.0000		-0.0000		5.0800		-0.0044		3.1800
0.5080		-0.0022		-0.0004		0.0000		0.1067		-0.0200		-0.0703		-0.0000		-0.0000		5.0800		-0.0044		3.2000
0.5170		-0.0018		-0.0004		0.0000		0.1067		-0.0200		-0.0703		-0.0000		-0.0000		5.1700		-0.0036		3.2200
0.5170		-0.0018		-0.0004		0.0000		0.1079		-0.0200		-0.0703		-0.0000		-0.0000		5.1700		-0.0036		3.2400
0.5250		-0.0016		-0.0004		0.0000		0.1079		-0.0200		-0.0703		-0.0000		-0.0000		5.2500		-0.0032		3.2600
0.5250		-0.0016		-0.0004		0.0000		0.1091		-0.0200		-0.0703		-0.0000		-0.0000		5.2500		-0.0032		3.2800
0.5340		-0.0013		-0.0004		0.0000		0.1091		-0.0200		-0.0703		-0.0000		-0.0000		5.3400		-0.0026		3.3000
0.5340		-0.0013		-0.0004		0.0000		0.1103		-0.0200		-0.0703		-0.0000		-0.0000		5.3400		-0.0026		3.3200
0.5430		-0.0011		-0.0004		0.0000		0.1103		-0.0200		-0.0703		-0.0000		-0.0000		5.4300		-0.0022		3.3400
0.5430		-0.0011		-0.0004		0.0000		0.1115		-0.0200		-0.0703		-0.0000		-0.0000		5.4300		-0.0022		3.3600
0.5520		-0.0009		-0.0002		0.0000		0.1127		-0.0200		-0.0703		-0.0000		-0.0000		5.5200		-0.0018		3.3800
0.5520		-0.0009		-0.0002		0.0000		0.1127		-0.0200		-0.0703		-0.0000		-0.0000		5.5200		-0.0018		3.4000
0.5610		-0.0006		-0.0002		0.0002		0.1139		-0.0200		-0.0703		-0.0000		-0.0000		5.6100		-0.0012		3.4200
0.5610		-0.0006		-0.0002		0.0002		0.1139		-0.0200		-0.0703		-0.0000		-0.0000		5.6100		-0.0012		3.4400
